mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
curateur,"Celui qui est désigné par le tribunal de commerce pour administrer une faillite, procéder à la liquidation de celle-ci et en répartir le produit entre les créanciers déclarés du failli.",non,oui
curatrice,"Celle qui est désignée par le tribunal de commerce pour administrer une faillite, procéder à la liquidation de celle-ci et en répartir le produit entre les créanciers déclarés du failli.",non,oui
cyclostrade,Véloroute.,non,non
dagobert,"Sandwich composé de baguette garnie d'une base protéinée, sauce et crudités au choix (naguère de jambon, fromage, de mayonnaise et crudités, mais les recettes ont évolué).",non,oui
demi-ouvrier,"Employé qui n'est plus apprenti mais pas encore considéré comme pleinement ouvrier, car il ne possède que son diplôme et n'a pas d'expérience professionnelle.",non,non
demi-ouvrière,Féminisation du statut professionnel de demi-ouvrier.,non,non
demoiselle,"Terme de politesse, par lequel on désigne les jeunes filles et, par le passé, les femmes non mariées.; Institutrice.",non,oui
derle,"Terre à porcelaine, argile propre à faire de la belle faïence, de la porcelaine.",non,oui
dicotylée,Dicotylédone.,non,oui
didine,Ventre.,non,non
dikkenek,Vantard.,non,non
diminué,Minoré.,non,oui
dimmer,"Interrupteur, commutateur pouvant graduer la puissance (souvent d'éclairage ou de chauffage).",non,oui
discobus,Médiathèque itinérante aménagée dans un bus.,non,non
discoplane,Disque-volant.,non,non
distanciement,Fait de mettre de la distance entre soi et une action effectuée ou une parole prononcée.,non,non
djoc,"Toilettes, WC, chiottes.",non,non
domet,Flanelle de coton initialement fabriquée dans la région de Verviers.,non,non
doublant,Élève qui redouble.,non,oui
doublante,Élève (fille) qui recommence la même classe.,non,oui
doublement,Redoublement.,non,oui
doubler,Redoubler un niveau de classe au lieu de passer au niveau supérieur.,non,oui
doudouce,Câlin ; caresse légère ; manifestation de tendresse.,non,oui
douf,"(Parlant de la météo) Lourd, étouffant",non,oui
doufe,"Cuite, biture. | Temps chaud et humide, étouffant.",non,non
drache,Pluie forte et subite ; averse. | Tournée générale.,non,oui
dracher,Pleuvoir fortement.,non,oui
dringueille,Argent de poche ; argent que l’on reçoit pour un anniversaire ou une fête.,non,non
dringuelle,"Argent de poche, argent que l’on reçoit pour un anniversaire ou une fête.",non,non
droiteure,"Couche de charbon, qui dans une mine, se redresse proche de la verticale.",non,non
drève,Allée carrossable bordée d’arbres.,non,oui
ducasse,"Kermesse, fête votive.",non,oui
duvet,Couette épaisse.,non,oui
débagager,Déménager.,non,oui
débarakisation,Élimination des barakis,non,non
débaucher,Quitter son travail après l’accomplissement quotidien de celui-ci.,non,oui
décauser,"Parler en mal de, dénigrer.",non,non
décolloquer,Sortir un patient d’un service psychiatrique fermé.,non,oui
décret,"Acte législatif pris par une des entités fédérées (communauté linguistique ou région), excepté la région de Bruxelles-Capitale.",non,oui
décumul,Synonyme de « décumul des mandats ». | Synonyme de « décumul des revenus des époux » (séparation des revenus d’un couple en vue de l’imposition fiscale).,non,oui
décumuler,Supprimer le cumul,non,non
déforcer,"Faire perdre ses forces à, affaiblir, diminuer le pouvoir de quelqu'un.",non,non
défranchir,"Faire perdre son assurance, sa confiance, à quelqu’un.",non,oui
dégrogner,"Râler, grogner.",non,oui
déjeter,Gaspiller.,non,oui
déjeuner,Petit-déjeuner. Prendre le repas du matin.,non,oui
déloger,Découcher.,non,oui
dîner,Prendre le repas de midi.  Repas de midi.,non,oui
elbot,"Grand poisson plat de l’Atlantique nord, consommé pour sa chair.",non,non
emmacraler,"Ensorceler. | Embrouiller, emmêler, mettre de la confusion.",non,non
empocheter,"Mettre en poche (ou en pochette), empocher.",non,non
encoder,"Saisir, Entrer",non,oui
endéans,"Dans un délai de ; dans la limite de ; dans l’intervalle (d’un laps de temps). | Dans, en tant que préposition de lieu. | Dans la limite (d’une certaine épaisseur).",non,non
enloger,Mettre des pigeons dans une boite en vue de les transporter.,non,non
ensine,Fumier ; engrais.,non,oui
ensiner,"Fumer, engraisser, en parlant d'une terre, d'un sol.",non,non
entre-saison,"Période tempérée, entre les températures extrêmes de l'hiver et de l'été, plus précisément le printemps et l'automne.",non,non
ergeron,"Limon jaunâtre, sableux et calcaire qui recouvre le dépôt caillouteux.",non,non
escabelle,"Escabeau, échelle autoportante grâce à sa forme en V inversé lui donnant en tout quatre pieds.",non,oui
essuie,Linge utilisé pour enlever l’eau de rinçage sur un objet ou s’essuyer les mains ou le corps.,non,oui
essuie-éponge,Synonyme de serviette-éponge.,non,non
estaminet,Salle de café où l’on peut fumer en même temps que boire. | Petit café restaurant fréquenté par une clientèle populaire.,non,non
exemplatif,"Relatif à l’exemple, exemplaire.",non,non
facultaire,Relatif à la faculté d'une université.,non,non
fafoule,Grande gueule.,non,non
fancy-fair,"Fête de bienfaisance, fête organisée pour lever des fonds pour une œuvre caritative, une école ou une association.",non,oui
farde,"Classeur, dossier contenant une liasse de papier. | Cartouche de cigarettes.",non,oui
